Index,Company Name,Company Address,Company Country,Company Link,Industry,Batch,Sub Industry,Founded,Team Size,Company Status
1,Asha Health,"New York, NY, USA",USA,https://www.ycombinator.com/companies/asha-health,Healthcare,Fall 2024,Healthcare,2024,9,Active
2,Apolink,"Palo Alto, CA, USA",USA,https://www.ycombinator.com/companies/apolink,Industrials,Fall 2024,Industrials -> Aviation and Space,2024,7,Active
3,HumanLayer,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/humanlayer,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2023,3,Active
4,Loombotic,"Toronto, ON, Canada",Canada,https://www.ycombinator.com/companies/loombotic,Industrials,Fall 2024,Industrials -> Manufacturing and Robotics,2024,4,Active
5,Roundabout Technologies,,,https://www.ycombinator.com/companies/roundabout-technologies,Government,Fall 2024,Government,2024,4,Active
6,Synth,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/synth-3,B2B,Fall 2024,B2B -> Infrastructure,2024,2,Active
7,Careforce,"Oakland, CA, USA",USA,https://www.ycombinator.com/companies/careforce,Healthcare,Fall 2024,Healthcare -> Healthcare IT,2024,,Active
8,Canvas,,,https://www.ycombinator.com/companies/canvas,B2B,Fall 2024,B2B,2024,3,Active
9,Ember,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/ember,Healthcare,Fall 2024,Healthcare,2022,10,Active
10,Relvy AI,,,https://www.ycombinator.com/companies/relvy-ai,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,3,Active
11,Friday,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/friday,Consumer,Fall 2024,Consumer,2024,5,Active
12,SRE.ai,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/sre-ai,B2B,Fall 2024,B2B -> Infrastructure,2024,5,Active
13,Ryvn,"New York, NY, USA",USA,https://www.ycombinator.com/companies/ryvn,B2B,Fall 2024,B2B -> Infrastructure,2024,2,Active
14,Melder,"New York, NY, USA",USA,https://www.ycombinator.com/companies/melder,B2B,Fall 2024,B2B -> Productivity,2024,2,Active
15,Vaya,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/vaya,Consumer,Fall 2024,"Consumer -> Travel, Leisure and Tourism",2024,2,Active
16,x1,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/x1,Consumer,Fall 2024,Consumer,2024,1,Active
17,Forerunner AI,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/forerunner-ai,Industrials,Fall 2024,Industrials -> Aviation and Space,2024,2,Active
18,FutureClinic,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/futureclinic,Healthcare,Fall 2024,Healthcare,2024,4,Active
19,Struct,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/struct-ai,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2025,3,Active
20,Surge,"Lehi, UT, USA",USA,https://www.ycombinator.com/companies/surge,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,3,Active
21,Sunset,,,https://www.ycombinator.com/companies/sunset,Fintech,Fall 2024,Fintech -> Consumer Finance,2024,5,Active
22,ArchiLabs,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/archilabs,Real Estate and Construction,Fall 2024,Real Estate and Construction -> Construction,2024,2,Active
23,Revi,Remote,Remote,https://www.ycombinator.com/companies/revi,B2B,Fall 2024,B2B -> Sales,2023,2,Active
24,Metreecs,,,https://www.ycombinator.com/companies/metreecs,B2B,Fall 2024,B2B -> Retail,2024,6,Active
25,Diffusion Studio,"San Francisco, CA, USA; Remote",USA,https://www.ycombinator.com/companies/diffusion-studio,Consumer,Fall 2024,Consumer -> Content,2023,3,Active
26,BrowserBook,"New York, NY, USA",USA,https://www.ycombinator.com/companies/browserbook,B2B,Fall 2024,B2B -> Productivity,2024,3,Active
27,Alex,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/alex,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,30,Active
28,Innate,"Palo Alto, CA, USA",USA,https://www.ycombinator.com/companies/innate,Consumer,Fall 2024,Consumer -> Consumer Electronics,2024,5,Active
29,Capy,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/capy,B2B,Fall 2024,"B2B -> Engineering, Product and Design",2024,6,Active
30,Consus,Remote,Remote,https://www.ycombinator.com/companies/consus,Industrials,Fall 2024,Industrials -> Aviation and Space,2024,1,Active
31,CollectWise,,,https://www.ycombinator.com/companies/collectwise,Fintech,Fall 2024,Fintech,2024,8,Active
32,Origami,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/origami-2,B2B,Fall 2024,B2B -> Sales,2024,10,Active
33,Fresco,,,https://www.ycombinator.com/companies/fresco,Real Estate and Construction,Fall 2024,Real Estate and Construction -> Construction,2024,2,Active
34,PermitPortal,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/permitportal,Real Estate and Construction,Fall 2024,Real Estate and Construction,2024,2,Active
35,Gecko Security,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/gecko-security,B2B,Fall 2024,B2B -> Security,2024,2,Active
36,Curo,"San Francisco, CA, USA",USA,https://www.ycombinator.com/companies/curo,Industrials,Fall 2024,Industrials -> Automotive,2023,6,Active
37,Dexter,"Berlin, Berlin, Germany",Germany,https://www.ycombinator.com/companies/dexter,B2B,Fall 2024,B2B -> Operations,2024,3,Active
